code,nick,date,open,highest,lowest,close,ROI,changerange
0050,台灣50,20130502,56.35,56.65,56.35,56.55,0.2660,0.15
0050,台灣50,20130503,56.85,57.00,56.65,56.65,0.1768,0.10
0050,台灣50,20130506,57.00,57.15,56.90,56.90,0.4413,0.25
0050,台灣50,20130507,56.90,57.20,56.80,57.10,0.3515,0.20
0050,台灣50,20130508,57.20,58.10,57.20,57.85,1.3135,0.75
0050,台灣50,20130509,58.20,58.45,58.15,58.20,0.6050,0.35
0050,台灣50,20130510,58.10,58.15,57.85,57.90,-0.5155,-0.30
0050,台灣50,20130513,57.90,58.00,57.60,57.75,-0.2591,-0.15
0050,台灣50,20130514,58.00,58.25,57.75,57.90,0.2597,0.15
0050,台灣50,20130515,58.10,58.10,57.65,57.95,0.0864,0.05
0050,台灣50,20130516,58.50,58.90,58.40,58.70,1.2942,0.75
0050,台灣50,20130517,58.60,58.70,58.40,58.40,-0.5111,-0.30
0050,台灣50,20130520,58.30,58.50,58.10,58.30,-0.1712,-0.10
0050,台灣50,20130521,58.35,58.70,58.15,58.30,0.0000,0.00
0050,台灣50,20130522,58.65,58.70,58.20,58.25,-0.0858,-0.05
0050,台灣50,20130523,57.90,58.00,57.00,57.00,-2.1459,-1.25
0050,台灣50,20130524,57.00,57.20,56.60,56.85,-0.2632,-0.15
0050,台灣50,20130527,56.80,57.35,56.80,57.35,0.8795,0.50
0050,台灣50,20130528,57.40,57.45,57.15,57.15,-0.3487,-0.20
0050,台灣50,20130529,57.35,57.80,57.35,57.65,0.8749,0.50
0050,台灣50,20130530,57.40,57.45,56.85,56.95,-1.2142,-0.70
0050,台灣50,20130531,57.50,57.70,56.80,56.95,0.0000,0.00
0050,台灣50,20130603,56.45,56.75,56.25,56.70,-0.4390,-0.25
0050,台灣50,20130604,56.70,56.80,56.35,56.60,-0.1764,-0.10
0050,台灣50,20130605,56.55,56.75,56.35,56.60,0.0000,0.00
0050,台灣50,20130606,56.20,56.30,55.75,55.90,-1.2367,-0.70
0050,台灣50,20130607,55.95,56.15,55.90,56.05,0.2683,0.15
0050,台灣50,20130610,56.55,56.70,56.40,56.50,0.8029,0.45
0050,台灣50,20130611,56.55,56.65,56.25,56.35,-0.2655,-0.15
0050,台灣50,20130613,55.90,55.90,55.00,55.00,-2.3957,-1.35
0050,台灣50,20130614,55.15,55.15,54.70,54.80,-0.3636,-0.20
0050,台灣50,20130617,54.85,55.15,54.80,55.15,0.6387,0.35
0050,台灣50,20130618,55.15,55.40,54.85,55.40,0.4533,0.25
0050,台灣50,20130619,55.50,55.50,55.15,55.30,-0.1805,-0.10
0050,台灣50,20130620,55.00,55.00,54.20,54.25,-1.8987,-1.05
0050,台灣50,20130621,54.10,54.10,53.25,53.60,-1.1982,-0.65
0050,台灣50,20130624,53.40,53.50,53.10,53.40,-0.3731,-0.20
0050,台灣50,20130625,53.30,53.70,52.95,53.00,-0.7491,-0.40
0050,台灣50,20130626,53.60,53.80,53.30,53.70,1.3208,0.70
0050,台灣50,20130627,54.05,54.35,53.90,54.35,1.2104,0.65
0050,台灣50,20130628,54.40,55.10,54.30,55.10,1.3799,0.75
0050,台灣50,20130701,54.80,55.70,54.80,55.60,0.9074,0.50
0050,台灣50,20130702,55.65,55.75,55.45,55.50,-0.1799,-0.10
0050,台灣50,20130703,55.20,55.40,54.85,54.85,-1.1712,-0.65
0050,台灣50,20130704,54.90,55.15,54.80,54.95,0.1823,0.10
0050,台灣50,20130705,55.25,56.05,55.20,56.05,2.0018,1.10
0050,台灣50,20130708,56.05,56.05,54.95,55.00,-1.8733,-1.05
0050,台灣50,20130709,55.00,55.70,54.95,55.65,1.1818,0.65
0050,台灣50,20130710,55.75,56.30,55.65,55.80,0.2695,0.15
0050,台灣50,20130711,56.75,57.40,56.70,57.20,2.5090,1.40
0050,台灣50,20130712,57.20,57.40,57.10,57.35,0.2622,0.15
0050,台灣50,20130715,57.35,57.70,57.10,57.50,0.2616,0.15
0050,台灣50,20130716,57.50,57.60,57.35,57.50,0.0000,0.00
0050,台灣50,20130717,57.40,57.75,57.35,57.60,0.1739,0.10
0050,台灣50,20130718,57.60,57.65,57.10,57.20,-0.6944,-0.40
0050,台灣50,20130719,56.90,56.90,55.75,55.95,-2.1853,-1.25
0050,台灣50,20130722,56.15,56.40,56.10,56.15,0.3575,0.20
0050,台灣50,20130723,56.50,57.20,56.50,57.05,1.6028,0.90
0050,台灣50,20130724,56.80,57.15,56.80,56.90,-0.2629,-0.15
0050,台灣50,20130725,56.80,57.15,56.50,57.00,0.1757,0.10
0050,台灣50,20130726,57.00,57.40,56.70,56.90,-0.1754,-0.10
0050,台灣50,20130729,56.70,56.85,56.25,56.50,-0.7030,-0.40
0050,台灣50,20130730,56.75,57.15,56.50,56.95,0.7965,0.45
0050,台灣50,20130731,56.95,56.95,56.55,56.60,-0.6146,-0.35
0050,台灣50,20130801,56.55,56.65,56.05,56.20,-0.7067,-0.40
0050,台灣50,20130802,56.60,57.00,56.35,56.55,0.6228,0.35
0050,台灣50,20130805,56.50,56.80,56.25,56.70,0.2653,0.15
0050,台灣50,20130806,56.40,56.40,55.75,55.90,-1.4109,-0.80
0050,台灣50,20130807,55.55,55.55,55.10,55.10,-1.4311,-0.80
0050,台灣50,20130808,55.00,55.10,54.80,54.90,-0.3630,-0.20
0050,台灣50,20130809,54.90,55.10,54.65,54.85,-0.0911,-0.05
0050,台灣50,20130812,55.00,55.05,54.70,55.00,0.2735,0.15
0050,台灣50,20130813,55.35,55.55,55.30,55.55,1.0000,0.55
0050,台灣50,20130814,55.55,55.55,55.10,55.40,-0.2700,-0.15
0050,台灣50,20130815,54.85,55.05,54.50,55.00,-0.7220,-0.40
0050,台灣50,20130816,54.65,55.45,54.65,55.25,0.4545,0.25
0050,台灣50,20130819,55.05,55.10,54.85,55.10,-0.2715,-0.15
0050,台灣50,20130820,54.85,55.15,54.50,54.60,-0.9074,-0.50
0050,台灣50,20130822,54.30,54.35,53.85,54.15,-0.8242,-0.45
0050,台灣50,20130823,54.50,55.00,54.50,54.85,1.2927,0.70
0050,台灣50,20130826,55.00,55.20,54.75,55.10,0.4558,0.25
0050,台灣50,20130827,55.00,55.00,54.60,54.60,-0.9074,-0.50
0050,台灣50,20130828,54.35,54.75,54.30,54.75,0.2747,0.15
0050,台灣50,20130829,54.85,55.60,54.85,55.50,1.3699,0.75
0050,台灣50,20130830,55.60,55.85,55.40,55.85,0.6306,0.35
0050,台灣50,20130902,55.95,56.40,55.90,56.30,0.8057,0.45
0050,台灣50,20130903,56.60,56.70,56.40,56.65,0.6217,0.35
0050,台灣50,20130904,56.50,56.60,56.25,56.55,-0.1765,-0.10
0050,台灣50,20130905,56.70,56.95,56.55,56.90,0.6189,0.35
